annee,altitude_m,pluviometrie_mm,temperature_moy_C,superficie_ha,utilisation_engrais,acces_irrigation,nb_menages,province_Bujumbura Rural,province_Bururi,province_Cankuzo,province_Cibitoke,province_Gitega,province_Kayanza,province_Kirundo,province_Makamba,province_Muramvya,province_Muyinga,province_Mwaro,province_Ngozi,province_Rutana,province_Ruyigi,culture_Haricot,culture_Manioc,culture_Maïs,culture_Patate douce,culture_Sorgho,saison_B
2015,1167,661.8,23.1,0.98,0.0,0,91,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2020,1381,686.6,21.6,0.71,0.0,1,140,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018,832,703.2,22.6,3.53,1.0,0,61,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016,1677,792.1,20.1,0.73,1.0,0,156,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
2016,822,848.2,22.8,3.6,0.0,0,148,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
2022,2032,655.4,18.3,3.44,0.0,0,105,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2015,1090,780.1,22.2,4.4,1.0,0,158,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2016,1720,914.7,20.7,3.07,1.0,0,30,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2023,1918,890.0,20.6,0.36,1.0,0,19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
2020,1758,1090.1,20.7,0.46,0.0,0,110,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2023,1226,795.1,21.8,3.52,0.0,0,174,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
2016,1697,662.3,21.4,4.15,0.0,0,108,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2021,872,1020.6,23.1,4.1,0.0,0,165,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019,1439,814.1,21.0,4.48,0.0,0,150,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022,1754,771.7,21.2,1.84,1.0,0,120,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2020,1660,812.6,20.0,1.34,1.0,0,160,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2019,1480,920.8,20.8,0.78,0.0,0,52,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
2017,1467,891.7,20.2,3.64,1.0,0,22,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2016,1460,988.5,20.3,3.59,0.0,0,39,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2019,1233,1102.7,22.6,0.65,1.0,0,51,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2018,1367,1079.6,21.0,4.0,0.0,1,51,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2022,1798,1004.8,20.5,2.52,0.0,0,155,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2017,1166,921.4,22.3,0.75,1.0,1,179,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2020,1683,815.4,20.5,2.33,0.0,0,35,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2019,853,718.2,24.9,1.06,1.0,0,88,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2015,1788,1076.0,18.8,1.58,1.0,0,170,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2020,1180,726.6,21.4,1.89,0.0,0,116,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2020,1758,1087.2,19.6,1.88,0.0,0,162,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2019,1911,869.5,21.6,0.42,0.0,0,113,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2022,1777,1007.0,19.0,0.92,0.0,0,50,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2019,1220,817.6,22.3,0.69,1.0,1,166,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
2021,1095,695.7,21.4,3.81,1.0,0,40,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
